index,x,y,z
1,110,75,67
2,100,100,65
8,132,65,67
9,96,69,58
93,82,82,162
130,88,88,162
65,93,88,162
30,94,81,162
28,112,66,162
114,67,72,150
49,115,73,150
77,62,121,150
84,52,130,150
12,119,121,150
80,63,43,114
81,56,49,114
76,80,45,114
85,33,100,114
83,38,122,114
90,49,133,114
110,60,137,114
111,50,93,114
92,59,90,114
106,69,90,114
126,74,102,114
125,67,131,114
127,69,123,114
99,75,138,114
124,78,143,114
63,95,99,114
69,51,157,90
4,131,157,90
88,34,95,90
23,140,95,90
102,66,149,90
37,114,149,90
79,69,49,90
16,122,49,90
75,81,54,90
10,97,54,90
105,80,78,90
40,99,78,90